Station1,Station2,Station3,Station4,Station5,Station6,Station7,Station8,Station9,Station10,Station11,Station12
2.279506151,1.900060407,9.970361688,14.88899794,11.9978479,13.15883862,24.78007246,22.0220116,25.32375591,47.62893598,60.22993272,90.7838102
0.923129199,1.441327492,7.181152298,8.378954909,8.327984585,8.834856139,14.20656194,17.99535601,21.78698177,53.60379061,89.19806679,113.6921391
0.555010193,1.036396586,2.423922069,3.100694703,3.482972132,3.032734271,12.64630369,17.54794984,21.75583324,58.47428823,65.89330204,59.57864525
2.239862566,3.304575998,4.78837876,4.329645845,4.969606578,9.522955512,19.7708223,91.49173136,138.1012609,257.7965714,289.6813407,292.7961938
1.413010645,3.052556063,3.590576149,5.340557269,6.342973638,16.08113718,16.69278107,110.379068,205.4953558,616.4577505,624.9528045,685.5508562
3.488635501,4.686438112,3.256437359,4.966774894,7.161330505,23.28777464,18.25303932,52.4427999,72.57607784,357.3586041,379.4457444,406.3467487
6.379785539,40.32318956,14.48689872,29.5911047,63.11825107,106.9810465,181.4260362,309.5031333,320.829872,572.5666383,593.2379363,667.7112428
1.430000753,3.576417726,9.53994562,12.95212563,10.31582722,14.57184926,24.87918142,52.89586945,59.32379363,250.2359734,271.0205388,265.810239
1.565921617,2.534357771,13.03707617,17.38654381,14.7672355,20.54953558,18.79955446,28.57169822,31.34674919,65.94993573,78.46598193,77.81469446
0.925960884,1.82926829,12.89832363,15.15800798,9.650381321,10.50555009,26.66031107,26.48474662,33.04575998,47.40240121,46.12814311,41.54081396
1.761307859,1.79245639,8.183568667,10.84252056,7.696518906,6.470399448,26.91233101,25.99486518,27.62025217,35.25447402,32.22457143,23.79181451
0.069659443,0.002718417,5.567092042,7.011251218,5.753983229,1.514951293,22.71577434,19.30359433,22.08997203,29.19466884,27.06807366,23.78048777
0.062863399,0.001,4.343804268,5.009250164,4.134259604,0.450237861,19.5301291,18.70894055,21.61141733,108.3685719,134.8165067,207.0527823
0.069376274,0.108170354,1.25160462,1.452654231,2.548516194,0.869327191,6.478894502,19.19032694,60.96617073,518.1982928,618.4399297,643.6419232
0.235312995,0.33413879,1.874575245,2.409763646,3.386694853,2.531526086,6.190062667,32.90417575,60.59805172,610.2280442,723.7785991,803.915275
0.085516877,0.70508948,2.415427015,2.792041075,2.83168466,5.612398996,10.74057992,73.73706855,108.4535225,440.6101331,449.671524,470.909159
1.118515441,0.812693497,1.418674015,1.112852071,1.396020537,1.475307708,12.275353,40.63467487,58.64418931,192.3280221,195.2729742,201.6725815
0.928792568,2.457902285,0.787208335,1.146832287,0.818356867,1.214792719,9.882579463,25.41436982,43.57962692,284.0179714,287.1328245,289.9645092
4.035150641,14.89466131,1.285584836,4.791210445,14.31133427,10.1345994,7.396360332,13.9177301,21.13003093,109.841048,122.1022425,127.4824434
1.820773236,6.903647201,2.409763646,2.180397188,5.065883857,3.327229476,4.219210143,15.52046362,26.73676656,101.2327266,114.0602581,103.3281732
15.8744242,11.01242164,2.007664424,2.282337836,5.669032689,2.197387296,1.226119458,4.929962993,8.608321366,92.90757369,106.2448084,91.71826614
54.25507809,50.06418479,9.774975446,11.84776862,14.75874045,16.97311785,2.70425885,4.006833794,6.130597289,55.18953402,77.95627869,70.42399749
6.875330354,6.178735928,14.18674015,15.39870118,11.89873894,6.965944264,9.724005122,12.04598654,12.50188777,46.58121266,58.332704,47.77052021
1.764139543,1.234614512,16.14060256,18.39745524,16.0783055,14.28868079,14.35380954,20.58917916,21.16967452,32.53605674,37.51982175,28.88318353
1.636713733,0.416257645,5.00075511,4.097447703,4.386279538,0.733406327,0.807030128,0.942950992,3.276259152,14.62565127,18.54470284,12.71143244
0.487049762,0.569168617,2.658951896,3.103526387,2.438080492,0.860832137,0.739069696,1.093030279,3.678358373,10.07230234,11.87608546,9.695688276
0.083817866,0.210960507,0.948614361,1.152495657,1.019406478,0.611643887,0.756059804,1.223287773,3.035565956,10.68677791,14.1216114,12.07430339
0.162538699,0.190289209,0.787208335,1.129842179,1.005248054,0.928792568,0.826851921,2.254020989,5.425507809,12.11961034,14.72192855,14.27735406
0.230499131,0.167635732,0.838178659,1.427169069,0.928792568,0.908970776,0.74756475,5.547270249,8.732915491,21.7445065,21.95121948,18.81937625
0.119213924,0.094295099,0.872158875,1.396020537,0.75322812,0.824020236,0.645624102,1.027901532,3.148833342,13.69969039,14.93713658,12.33765006
